attraction,lat,lon
Central Park ,40.7828647,-73.9653551
American Museum of Natural History ,40.7813241,-73.9739882
Rockefeller Center and Top of the Rock Observation Deck ,40.7592454,-73.9793043
St. Patrick's Cathedral ,40.7584653,-73.9759927
Bryant Park ,40.7535965,-73.9832326
Metropolitan Museum of Art ,40.7794366,-73.963244
National September 11 Memorial & Museum  ,40.7105803,-74.0155829
Grand Central Station ,40.750936,-73.9771051
Empire State Building ,40.7484404,-73.9856554
Statue of Liberty ,40.6892494,-74.0445004
Museum of Modern Art ,40.7614327,-73.9776216
New York Public Library ,40.7518884,-73.9816211
Times Square ,40.758895,-73.985131
The High Line ,40.7479925,-74.0047649
Chrysler Building ,40.7517578,-73.9755189
Broadway ,40.759011,-73.9844722
Brooklyn Botanic Garden ,40.6688898,-73.9650711
Fifth Avenue ,40.7750534,-73.965151
Frick Collection ,40.7712286,-73.9672226
Radio City Music Hall ,40.759976,-73.9799772
Coney Island ,40.5755438,-73.9707016
The Guggenheim ,40.7829796,-73.9589706
Brooklyn Bridge ,40.7060855,-73.9968643
Ellis Island ,40.6994748,-74.0395587
Bronx Zoo ,40.8505949,-73.8769982
Apollo Theater ,40.810018,-73.950056
Metropolitan Opera House ,40.7727216,-73.9841644
